,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
366,kasongo-lunda,100.0,CD,1603601873.0,91.0,-6.47,16.82,21.99,0.49
367,dunedin,100.0,NZ,1603601680.0,74.0,-45.87,170.5,15.0,10.73
368,breytovo,75.0,RU,1603601874.0,88.0,58.3,37.86,1.39,3.04
369,izumo,20.0,JP,1603601874.0,52.0,35.37,132.77,19.0,8.2
370,kimbe,78.0,PG,1603601874.0,70.0,-5.55,150.14,30.08,1.81
371,seoul,20.0,KR,1603601741.0,34.0,37.57,126.98,18.0,1.5
372,khatanga,100.0,RU,1603601874.0,95.0,71.97,102.5,-13.35,6.13
373,mantua,0.0,IT,1603601875.0,96.0,45.17,10.78,9.44,0.89
374,mount isa,8.0,AU,1603601875.0,25.0,-20.73,139.5,31.0,4.6
375,sayat,0.0,TM,1603601875.0,53.0,38.78,63.88,10.0,2.1
376,chapais,75.0,CA,1603601876.0,85.0,49.78,-74.85,-5.0,2.6
377,kyshtovka,100.0,RU,1603601876.0,94.0,56.55,76.63,-1.45,8.07
378,grants,1.0,US,1603601876.0,26.0,35.15,-107.85,15.0,2.6
379,puerto del rosario,40.0,ES,1603601877.0,73.0,28.5,-13.86,21.0,8.2
380,xuanhua,85.0,CN,1603601877.0,29.0,40.61,115.04,17.21,0.47
381,marrakesh,0.0,MA,1603601877.0,82.0,31.63,-8.01,13.0,1.5
382,malanville,93.0,BJ,1603601877.0,31.0,11.87,3.39,22.88,1.52
383,vestmannaeyjar,91.0,IS,1603601760.0,70.0,63.44,-20.27,7.29,9.76
384,havre-saint-pierre,1.0,CA,1603601878.0,80.0,50.23,-63.6,1.0,3.6
385,wajima,75.0,JP,1603601878.0,51.0,37.4,136.9,17.0,6.2
386,longjiang,58.0,CN,1603601878.0,43.0,47.33,123.18,10.58,2.66
387,mocuba,0.0,MZ,1603601878.0,65.0,-16.84,36.99,25.3,1.14
388,san juan,0.0,AR,1603601879.0,73.0,-31.54,-68.54,19.34,4.63
389,bac lieu,45.0,VN,1603601879.0,69.0,9.29,105.72,29.36,1.91
390,north bend,1.0,US,1603601879.0,93.0,43.41,-124.22,9.0,3.6
391,neftegorsk,100.0,RU,1603601880.0,82.0,52.8,51.17,8.44,2.59
393,lazaro cardenas,21.0,MX,1603601757.0,90.0,17.96,-102.2,26.84,1.91
394,omsukchan,100.0,RU,1603601880.0,93.0,62.53,155.8,-0.1,1.54
395,loiza,20.0,PR,1603601881.0,74.0,18.43,-65.88,28.0,2.6
396,hami,0.0,CN,1603601767.0,37.0,42.8,93.45,12.32,0.9
397,kargasok,98.0,RU,1603601702.0,92.0,59.06,80.86,-3.9,5.3
398,varel,100.0,DE,1603601881.0,72.0,53.4,8.14,15.0,8.2
399,ngunguru,0.0,NZ,1603601882.0,69.0,-35.62,174.5,20.56,3.13
400,coquimbo,4.0,CL,1603601568.0,82.0,-29.95,-71.34,13.0,2.1
403,rustenburg,0.0,ZA,1603601883.0,49.0,-25.67,27.24,23.67,1.17
404,turayf,0.0,SA,1603601883.0,35.0,31.67,38.66,13.0,3.6
405,clyde river,75.0,CA,1603601591.0,78.0,70.47,-68.59,-8.0,7.2
406,lagos,93.0,NG,1603601868.0,88.0,6.58,3.75,25.47,1.36
407,manono,74.0,CD,1603601883.0,83.0,-7.3,27.42,23.7,0.09
408,gigmoto,100.0,PH,1603601884.0,83.0,13.78,124.39,27.56,8.93
409,jurado,100.0,CO,1603601884.0,88.0,7.11,-77.76,24.18,0.68
410,korla,0.0,CN,1603601885.0,36.0,41.76,86.15,13.39,5.65
411,port hedland,0.0,AU,1603601885.0,55.0,-20.32,118.57,30.0,8.2
412,wejherowo,0.0,PL,1603601885.0,93.0,54.61,18.24,10.56,3.1
413,yeppoon,40.0,AU,1603601885.0,83.0,-23.13,150.73,24.0,2.6
415,bonavista,100.0,CA,1603601886.0,80.0,48.65,-53.11,9.44,2.68
416,codrington,75.0,AU,1603601886.0,64.0,-38.27,141.97,11.56,10.07
417,lata,99.0,PT,1603601682.0,81.0,40.16,-8.33,17.22,8.05
418,hovd,0.0,MN,1603601887.0,56.0,48.01,91.64,1.64,0.93
419,iralaya,100.0,HN,1603601793.0,94.0,15.0,-83.23,24.56,1.6
420,zacatepec,21.0,MX,1603601887.0,76.0,18.65,-99.2,18.89,0.67
421,livingston,0.0,GB,1603601888.0,75.0,55.9,-3.52,8.0,4.6
422,belgrade,40.0,RS,1603601614.0,100.0,44.8,20.47,13.0,0.5
423,lavrentiya,22.0,RU,1603601888.0,90.0,65.58,-171.0,1.05,3.97
424,shigony,100.0,RU,1603601888.0,78.0,53.39,48.68,9.05,1.38
425,fuerte olimpo,0.0,PY,1603601889.0,75.0,-21.04,-57.87,25.18,1.68
426,carnot,99.0,CF,1603601889.0,94.0,4.94,15.87,20.68,1.07
427,fallon,1.0,US,1603601889.0,39.0,39.47,-118.78,15.56,3.6
428,caravelas,100.0,BR,1603601619.0,89.0,-17.71,-39.25,23.61,3.39
429,kushmurun,69.0,KZ,1603601890.0,84.0,52.45,64.63,8.61,5.66
430,kavaratti,20.0,IN,1603601890.0,74.0,10.57,72.64,29.0,2.1
431,kaele,80.0,CM,1603601890.0,30.0,10.11,14.45,24.31,4.07
433,touros,40.0,BR,1603601786.0,94.0,-5.2,-35.46,23.0,1.5
434,aksu,93.0,CN,1603601891.0,29.0,41.12,80.26,14.65,2.36
435,bandarbeyla,44.0,SO,1603601891.0,63.0,9.49,50.81,25.88,2.35
436,calvillo,12.0,MX,1603601892.0,51.0,21.85,-102.72,17.08,1.96
437,carballo,20.0,ES,1603601892.0,82.0,43.21,-8.69,14.0,2.6
438,kankan,1.0,GN,1603601892.0,60.0,10.39,-9.31,21.09,1.3
439,cam ranh,40.0,VN,1603601892.0,79.0,11.92,109.16,30.0,1.5
440,neiafu,75.0,TO,1603601893.0,94.0,-18.65,-173.98,24.0,2.6
441,verkhnevilyuysk,96.0,RU,1603601666.0,95.0,63.45,120.32,-1.62,2.03
442,minot,90.0,US,1603601893.0,67.0,48.23,-101.3,-6.0,5.7
444,hay river,40.0,CA,1603601894.0,92.0,60.82,-115.8,-8.0,1.5
445,makaha,1.0,US,1603601894.0,88.0,21.47,-158.22,27.0,0.3
446,russell,90.0,US,1603601894.0,93.0,32.35,-85.2,20.0,0.69
447,jacareacanga,39.0,BR,1603601895.0,97.0,-6.22,-57.75,21.87,0.45
448,gloucester,0.0,GB,1603601895.0,92.0,51.87,-2.24,8.33,1.79
450,bathsheba,20.0,BB,1603601785.0,74.0,13.22,-59.52,28.0,10.3
451,eravur,99.0,LK,1603601900.0,50.0,7.77,81.61,31.78,0.97
452,hachinohe,75.0,JP,1603601900.0,71.0,40.5,141.5,11.0,7.7
453,flinders,99.0,AU,1603601634.0,81.0,-34.58,150.86,13.89,2.24
454,lubango,42.0,AO,1603601648.0,58.0,-14.92,13.49,17.98,0.4
455,fairview,1.0,US,1603601901.0,61.0,40.81,-74.0,10.56,1.5
456,bongandanga,100.0,CD,1603601901.0,99.0,1.5,21.05,21.29,1.09
457,semporna,20.0,MY,1603601901.0,74.0,4.48,118.61,30.0,2.6
458,yaan,100.0,NG,1603601902.0,95.0,7.38,8.57,21.61,3.5
459,monterey,4.0,US,1603601902.0,91.0,36.25,-121.25,8.33,2.24
460,sibolga,91.0,ID,1603601902.0,62.0,1.74,98.78,29.66,2.71
461,constitucion,64.0,CL,1603601903.0,84.0,-35.33,-72.42,10.2,3.74
462,vieste,40.0,IT,1603601903.0,87.0,41.88,16.18,11.11,2.1
463,aktau,20.0,KZ,1603601903.0,87.0,43.65,51.2,16.0,4.0
464,faya,0.0,SA,1603601681.0,25.0,18.39,42.45,14.0,0.46
465,norman wells,40.0,CA,1603601904.0,84.0,65.28,-126.83,-13.0,1.0
466,lisakovsk,71.0,KZ,1603601904.0,88.0,52.54,62.49,8.22,4.48
468,chegdomyn,30.0,RU,1603601904.0,60.0,51.12,133.02,6.69,4.73
469,koshurnikovo,84.0,RU,1603601904.0,85.0,54.17,93.3,-2.93,3.7
470,san quintin,100.0,MX,1603601905.0,80.0,30.48,-115.95,18.48,4.16
471,maua,20.0,BR,1603601905.0,82.0,-23.67,-46.46,20.0,0.5
472,cidreira,32.0,BR,1603601905.0,91.0,-30.18,-50.21,20.53,7.57
473,veraval,16.0,IN,1603601905.0,49.0,20.9,70.37,29.82,1.72
474,mandera,92.0,KE,1603601906.0,63.0,3.94,41.87,27.22,4.43
476,jingdezhen,73.0,CN,1603601906.0,49.0,29.29,117.21,22.26,0.36
477,palembang,40.0,ID,1603601906.0,70.0,-2.92,104.75,30.0,1.5
478,kulhudhuffushi,49.0,MV,1603601907.0,73.0,6.62,73.07,28.31,4.79
479,post falls,1.0,US,1603601688.0,67.0,47.72,-116.95,-3.0,4.1
480,sola,27.0,VU,1603601907.0,80.0,-13.88,167.55,26.99,7.12
481,burnie,2.0,AU,1603601901.0,37.0,-41.07,145.92,15.0,4.02
482,bandiagara,65.0,ML,1603601648.0,16.0,14.35,-3.61,26.46,4.73
483,varhaug,100.0,NO,1603601908.0,99.0,58.61,5.65,10.56,2.68
484,kemijarvi,83.0,FI,1603601908.0,98.0,66.71,27.43,-2.62,1.24
485,kushima,20.0,JP,1603601909.0,37.0,31.46,131.23,21.0,3.6
486,olafsvik,100.0,IS,1603601909.0,82.0,64.89,-23.71,5.57,17.03
487,quatre cocos,75.0,MU,1603601909.0,78.0,-20.21,57.76,24.44,7.7
488,kitimat,26.0,CA,1603601909.0,62.0,54.05,-128.65,-0.56,1.77
489,diffa,84.0,NE,1603601910.0,26.0,13.32,12.61,25.29,4.51
491,gladstone,75.0,AU,1603601910.0,78.0,-23.85,151.25,24.0,3.6
492,saint-georges,75.0,GD,1603601910.0,88.0,12.06,-61.75,27.0,9.3
493,tacoronte,90.0,ES,1603601911.0,87.0,28.48,-16.41,17.78,1.5
495,tallahassee,1.0,US,1603601884.0,94.0,30.44,-84.28,20.0,1.17
496,sajanan,40.0,TN,1603601912.0,77.0,37.06,9.24,17.0,3.1
497,havoysund,97.0,NO,1603601912.0,79.0,71.0,24.66,2.0,6.7
498,saurimo,84.0,AO,1603601912.0,93.0,-9.66,20.39,19.17,1.24
499,uong bi,90.0,VN,1603601912.0,69.0,21.03,106.78,24.0,4.1
500,luangwa,62.0,ZM,1603601913.0,51.0,-15.62,30.42,26.71,4.67
501,vostok,100.0,RU,1603601913.0,100.0,46.49,135.88,-0.51,2.38
502,ilam,39.0,NP,1603601913.0,78.0,26.92,87.92,21.89,2.49
503,majene,86.0,ID,1603601913.0,64.0,-3.54,118.97,30.4,2.47
504,southbridge,43.0,US,1603601914.0,70.0,42.08,-72.03,7.22,0.89
505,felipe carrillo puerto,100.0,MX,1603601914.0,99.0,19.58,-88.05,23.14,1.55
506,divo,15.0,CI,1603601914.0,99.0,5.84,-5.36,21.09,1.07
507,usinsk,100.0,RU,1603601914.0,98.0,65.99,57.53,-5.4,2.34
508,dargaville,67.0,NZ,1603601915.0,71.0,-35.93,173.88,19.53,0.76
509,presidente medici,100.0,BR,1603601915.0,95.0,-11.18,-61.9,23.2,1.68
510,oregon,16.0,US,1603601915.0,69.0,44.0,-120.5,0.56,1.34
511,palmer,90.0,US,1603601744.0,61.0,42.16,-72.33,8.0,6.2
512,leua,88.0,SK,1603601916.0,97.0,48.22,18.61,11.67,1.89
513,namtsy,0.0,RU,1603601916.0,78.0,62.72,129.67,-10.0,1.0
514,benjamin constant,40.0,BR,1603601917.0,100.0,-4.38,-70.03,24.0,1.0
515,boca do acre,100.0,BR,1603601917.0,96.0,-8.75,-67.4,23.31,1.28
516,mabaruma,66.0,GY,1603601918.0,95.0,8.2,-59.78,24.59,1.14
517,mindelo,75.0,CV,1603601918.0,78.0,16.89,-24.98,26.0,11.3
518,polson,29.0,US,1603601919.0,87.0,47.69,-114.16,-13.33,2.56
521,lagoa,96.0,PT,1603601920.0,71.0,39.05,-27.98,17.86,7.17
522,necochea,12.0,AR,1603601920.0,92.0,-38.55,-58.74,12.78,2.68
523,gornyy,73.0,RU,1603601921.0,85.0,55.12,83.91,-2.69,6.29
524,raga,96.0,SS,1603601921.0,87.0,8.46,25.68,22.56,1.54
525,aquidauana,0.0,BR,1603601921.0,79.0,-20.47,-55.79,24.7,1.46
526,slave lake,1.0,CA,1603601701.0,57.0,55.28,-114.77,-7.0,6.2
527,krasnoselkup,85.0,RU,1603601922.0,95.0,65.7,82.47,-11.93,4.18
528,samarai,82.0,PG,1603601922.0,78.0,-10.62,150.67,27.88,3.16
529,luwuk,98.0,ID,1603601633.0,58.0,-0.95,122.79,30.93,1.79
530,kolvereid,100.0,NO,1603601623.0,78.0,64.87,11.6,2.74,9.21
531,terney,12.0,RU,1603601780.0,54.0,45.05,136.61,9.29,7.45
532,liyang,12.0,CN,1603601923.0,73.0,29.71,118.29,18.89,1.04
533,bagdarin,100.0,RU,1603601923.0,81.0,54.43,113.6,1.16,1.29
534,ustka,56.0,PL,1603601765.0,90.0,54.58,16.86,10.59,5.53
535,gaspe,5.0,CA,1603601404.0,64.0,48.83,-64.48,3.0,3.6
536,belmonte,40.0,BR,1603601924.0,88.0,-15.86,-38.88,23.0,2.1
537,ucluelet,0.0,CA,1603601697.0,80.0,48.93,-125.55,2.22,3.99
538,pinheiro machado,44.0,BR,1603601924.0,100.0,-31.58,-53.38,15.0,4.02
539,ulladulla,90.0,AU,1603601925.0,93.0,-35.35,150.47,12.0,5.7
541,half moon bay,90.0,US,1603601853.0,87.0,37.46,-122.43,15.56,2.6
542,gizo,36.0,SB,1603601925.0,73.0,-8.1,156.84,29.1,3.49
543,zainsk,40.0,RU,1603601926.0,100.0,55.32,52.07,5.0,3.0
544,kormilovka,75.0,RU,1603601926.0,98.0,55.0,74.1,0.0,6.0
545,san ignacio,40.0,BZ,1603601926.0,94.0,17.16,-89.07,24.0,0.89
546,san carlos de bariloche,75.0,AR,1603601926.0,85.0,-41.15,-71.31,5.0,6.7
547,odweyne,1.0,SO,1603601927.0,37.0,9.41,45.06,23.97,5.39
548,paamiut,100.0,GL,1603601927.0,84.0,61.99,-49.67,-0.59,5.23
549,beira,20.0,MZ,1603601927.0,94.0,-19.84,34.84,22.0,2.6
550,havelock,1.0,US,1603601927.0,100.0,34.88,-76.9,20.0,1.95
551,pangnirtung,53.0,CA,1603601928.0,84.0,66.15,-65.71,-9.12,2.15
552,yenangyaung,100.0,MM,1603601928.0,69.0,20.47,94.88,29.4,1.52
553,awjilah,0.0,LY,1603601928.0,78.0,29.11,21.29,15.5,2.76
554,olindina,5.0,BR,1603601929.0,95.0,-11.37,-38.33,20.13,2.48
557,batemans bay,100.0,AU,1603601703.0,94.0,-35.72,150.18,13.89,0.89
558,denpasar,20.0,ID,1603601930.0,70.0,-8.65,115.22,31.0,4.1
559,shakiso,10.0,ET,1603601930.0,88.0,5.75,38.92,17.0,1.03
560,arona,0.0,ES,1603601930.0,68.0,28.1,-16.68,20.0,5.7
561,sitio novo do tocantins,79.0,BR,1603601930.0,88.0,-5.52,-47.46,23.97,0.77
562,te anau,100.0,NZ,1603601931.0,93.0,-45.42,167.72,13.95,0.46
564,mutoko,21.0,ZW,1603601931.0,61.0,-17.4,32.23,20.05,2.09
566,laguna,1.0,US,1603601932.0,67.0,38.42,-121.42,15.56,3.1
568,sakaiminato,20.0,JP,1603601781.0,45.0,35.55,133.23,19.0,7.7
570,groningen,90.0,NL,1603601933.0,77.0,53.25,6.75,15.0,7.7
571,kantang,75.0,TH,1603601933.0,94.0,7.41,99.52,29.44,2.6
572,zhicheng,32.0,CN,1603601933.0,43.0,30.3,111.5,22.22,2.14
573,gamba,100.0,GA,1603601934.0,90.0,-2.65,10.0,24.46,3.01
574,niquero,100.0,CU,1603601934.0,86.0,20.04,-77.58,25.85,4.21
575,dolores hidalgo,19.0,MX,1603601934.0,76.0,21.16,-100.93,14.44,2.4
576,guarapari,100.0,BR,1603601934.0,98.0,-20.67,-40.5,23.33,0.45
577,ixtapa,90.0,MX,1603601935.0,83.0,20.7,-105.2,29.44,0.25
578,coldwater,1.0,US,1603601687.0,80.0,41.94,-85.0,2.22,1.5
579,palana,100.0,RU,1603601935.0,77.0,59.12,159.97,2.86,2.29
580,marsa matruh,2.0,EG,1603601647.0,70.0,31.35,27.25,22.78,5.29
581,alta floresta,100.0,BR,1603601935.0,96.0,-9.88,-56.09,21.18,0.96
582,abay,75.0,KZ,1603601936.0,80.0,49.63,72.85,-1.0,9.0
583,muli,43.0,MV,1603601936.0,79.0,2.92,73.57,28.04,4.63
584,yakovlevskoye,0.0,RU,1603601936.0,93.0,55.44,37.95,5.0,2.0
585,christiana,87.0,ZA,1603601937.0,28.0,-27.91,25.16,26.07,4.14
586,paranhos,0.0,BR,1603601937.0,74.0,-23.89,-55.43,21.75,1.94
587,buzuluk,100.0,RU,1603601937.0,81.0,52.78,52.26,8.4,2.22
588,pathein,71.0,MM,1603601937.0,68.0,16.78,94.73,30.48,2.58
589,abu dhabi,0.0,AE,1603601937.0,29.0,24.47,54.37,26.0,1.0
590,colesberg,0.0,ZA,1603601938.0,19.0,-30.72,25.1,24.3,1.31
591,tautira,40.0,PF,1603601938.0,83.0,-17.73,-149.15,25.0,4.6
593,datong,32.0,CN,1603601938.0,33.0,40.09,113.29,15.76,1.87
594,homer,1.0,US,1603601939.0,61.0,59.64,-151.55,8.0,1.5
595,roma,75.0,US,1603601939.0,83.0,43.21,-75.46,3.89,1.47
596,naberera,72.0,TZ,1603601939.0,75.0,-4.2,36.93,18.13,3.57
597,baykit,99.0,RU,1603601939.0,94.0,61.67,96.37,-1.75,1.53
598,nerang,61.0,AU,1603601940.0,93.0,-27.98,153.33,23.33,0.45
599,magadan,99.0,RU,1603601940.0,80.0,59.57,150.8,3.81,4.97
600,umiray,100.0,PH,1603601940.0,83.0,15.22,121.41,26.2,0.48
601,port moresby,25.0,PG,1603601941.0,76.0,-9.44,147.18,27.92,3.59
602,murray bridge,34.0,AU,1603601941.0,63.0,-35.12,139.27,12.22,3.13
603,la palma,90.0,US,1603601941.0,72.0,33.85,-118.05,19.0,1.5
604,anloga,40.0,GH,1603601941.0,83.0,5.79,0.9,27.0,2.6
605,sungaipenuh,100.0,ID,1603601942.0,67.0,-2.08,101.38,25.16,2.33
608,mayma,4.0,RU,1603601942.0,81.0,52.02,85.91,0.27,1.79
609,oktyabrskoye,93.0,RU,1603601943.0,86.0,43.06,44.74,4.0,3.0
610,basoko,100.0,CD,1603601943.0,96.0,1.24,23.62,22.27,2.07
611,tsiroanomandidy,8.0,MG,1603601943.0,43.0,-18.77,46.03,23.53,2.39
612,noumea,90.0,NC,1603601939.0,48.0,-22.28,166.46,30.0,3.1
